=== source: childes_uk ===

-- Conversation 020203::4 (2456 lemmas, speakers: CHI, DAD, MOT) --
  *CHI:	a biscuit .
  *CHI:	because my come .
  *CHI:	my come .
  *MOT:	oops .
  *CHI:	put it on .
  *MOT:	put what on .
  *CHI:	put rock a bye baby on .
  *MOT:	oh no .
  *MOT:	let us sing it cm shall we .
  *CHI:	put rock a bye baby on .
  *MOT:	no .
  *MOT:	we will sing it .
  *MOT:	lara sing it .
  *CHI:	no .
  *MOT:	cradle will bop .
  *CHI:	that .
  *CHI:	what be that .
  *CHI:	that .
  *MOT:	what be it .
  *MOT:	listen .
  *MOT:	shh .
  *MOT:	be you wake him up .
  *MOT:	poor old daddy .
  *CHI:	come on .
  *CHI:	come on .
  *CHI:	hi cm daddy .
  *DAD:	no .
  *DAD:	no .
  *DAD:	do not hit daddy .
  *DAD:	no .
  *DAD:	do not do that cm .
  *DAD:	lara .
  *DAD:	what do daddy say .
  *CHI:	i want ride my neenaw .
  *DAD:	okay .
  *DAD:	daddy get the neenaw for you .
  *MOT:	i will get it .
  *DAD:	lara .
  *DAD:	i have tell you before .
  *DAD:	do not climb up the settee .
  *DAD:	if you do that again you will not be get the neenaw .
  *CHI:	bye bye .
  *CHI:	bye .
  *MOT:	bye .
  *MOT:	just go to get change .
  *CHI:	daddy .
  *CHI:	daddy .
  *CHI:	daddy .
  *CHI:	daddy .
  *DAD:	what be the matter .
  *CHI:	where be my watch go .
  *DAD:	i do not know cm .
  *DAD:	you genmod good ask mummy when she come down .
  *CHI:	daddy find it .
  *DAD:	daddy do not know where mummy be put it cm .
  *DAD:	ask mummy when she come down .
  *CHI:	it be in .
  *DAD:	it be alright .
  *DAD:	mummy will find it for you when she come down .
  *DAD:	you remember about it and tell mummy .
  *CHI:	it be in there .
  *DAD:	be it .
  *CHI:	yes .
  *DAD:	do you want daddy to have a look .
  *CHI:	yes .
  *DAD:	what be the magic word .
  *CHI:	please .
  *CHI:	in there .
  *CHI:	in there .
  *DAD:	in where .
  *CHI:	where be my tick tock .
  *MOT:	where be your tick tock .
  *MOT:	be that what daddy be look for .
  *DAD:	yes .
  *MOT:	poor daddy .
  *CHI:	mummy find it .
  *MOT:	mummy find it .
  *CHI:	yes .
  *DAD:	there it be .
  *MOT:	hang on .
  *MOT:	do you want to put it on .
  *CHI:	no .
  *MOT:	you do not .
  *MOT:	bless you .
  *MOT:	you what .
  *CHI:	mummy find it .
  *CHI:	mummy .
  *MOT:	daddy find it .
  *CHI:	mummy find it .
  *MOT:	daddy find it .
  *CHI:	mummy .
  *CHI:	you put that on .
  *MOT:	come on then .
  *MOT:	come and sit down .
  *CHI:	mummy .
  *CHI:	you put it on .
  *MOT:	okay .
  *MOT:	i be sit down .
  *MOT:	do you want me to put it on you or put it on me .
  *MOT:	that be the wrong way cm .
  *MOT:	shall mummy do it .
  *CHI:	yes .
  *MOT:	why do not you put it on samantha .
  *CHI:	no .
  *CHI:	now you wake up .
  *MOT:	i be wake up .
  *MOT:	put it on samantha arm .
  *CHI:	no .
  *CHI:	i can not do it .
  *MOT:	shall mummy do it .
  *CHI:	mummy .
  *CHI:	where be the little girl go .
  *MOT:	she be on there cm look .
  *CHI:	where be the little girl go .
  *MOT:	there .
  *CHI:	where be the little girl go .
  *MOT:	well .
  *MOT:	do not keep ask the same question when i have tell you the answer .
  *CHI:	put it on there .
  *MOT:	do you want to put it on your wrist .
  *CHI:	no .
  *CHI:	it be too far .
  *MOT:	it be too what .
  *CHI:	far .
  *MOT:	too four .
  *DAD:	too far .
  *MOT:	too far .
  *CHI:	yes .
  *MOT:	eh .
  *DAD:	i do not understand either .
  *DAD:	lara .
  *DAD:	do you need a wee wee .
  *DAD:	do you want a tissue .
  *MOT:	lara .
  *MOT:	get a tissue out the box and wipe your nose .
  *CHI:	can not do it .
  *MOT:	what be you try to do .
  *CHI:	mummy put on this watch .
  *MOT:	mummy put it on .
  *MOT:	okay .
  *MOT:	as long as you wipe your nose .
  *MOT:	here you be .
  *DAD:	nose wipe time .
  *MOT:	yes .
  *MOT:	oh yuck cm lara .
  *MOT:	do you want wee wee .
  *MOT:	what be the matter .
  *MOT:	oh .
  *MOT:	do you hurt your leg as you come up .
  *DAD:	oh dear .
  *MOT:	oh baby .
  *MOT:	my poor little baby .
  *MOT:	oh .
  *MOT:	you be sit on the bump .
  *MOT:	oh .
  *MOT:	i have not get much of a lap leave .
  *MOT:	oh dear .
  *MOT:	good .
  *CHI:	this one .
  *MOT:	you want to watch .
  *CHI:	yes .
  *MOT:	do you want to watch oh .
  *MOT:	you can not watch .
  *MOT:	or .
  *CHI:	be break .
  *MOT:	yes .
  *MOT:	do you want to watch or .
  *MOT:	it be break .
  *MOT:	yes .
  *MOT:	okay .
  *MOT:	you go and lie down with daddy and mummy put it on .
  *DAD:	come and lie down like this .
  *DAD:	come and lie up here with daddy .
  *DAD:	come and lie up here .
  *DAD:	oh no .
  *DAD:	you lie this way or else you will not be able to see the tell .
  *CHI:	i sit down .
  *DAD:	right .
  *DAD:	no kick .
  *DAD:	oy you .
  *DAD:	tickle be the question .
  *DAD:	you be not tick daddy foot .
  *DAD:	daddy foot be ticklish .
  *CHI:	tickle tickle .
  *DAD:	oh .
  *DAD:	oh dear .
  *DAD:	no no no no no .
  *DAD:	you be not get daddy foot .
  *DAD:	be care cm .
  *DAD:	or else you might fall off the settee .
  *DAD:	no .
  *DAD:	i be go to tickle lara .
  *DAD:	oh no .
  *CHI:	georgie daddy .
  *DAD:	you what .
  *DAD:	what be my name .
  *DAD:	lara .
  *DAD:	come here you .
  *DAD:	stop tickle daddy foot .
  *DAD:	what be my name .
  *CHI:	daddy .
  *DAD:	that be right .
  *MOT:	lara .
  *MOT:	lara .
  *MOT:	sing rock a bye baby .
  *CHI:	lara sing .
  *MOT:	okay .
  *MOT:	you sing .
  *DAD:	which shall we sing .
  *CHI:	eeyore .
  *MOT:	i do not think there be a eeyore song .
  *MOT:	you can sing happy .
  *DAD:	sing happy to eeyore cm lara .
  *CHI:	hooray .
  *DAD:	hooray for eeyore .
  *MOT:	you be come cm be you .
  *MOT:	go on then .
  *MOT:	into the lift .
  *MOT:	the lady be down here .
  *CHI:	oops .
  *MOT:	oops .
  *CHI:	mummy lady come up lift now .
  *MOT:	okay .
  *MOT:	oh .
  *MOT:	they crash on the slide .
  *MOT:	ow .
  *CHI:	say .
  *MOT:	you go down .
  *MOT:	be your lady go down .
  *CHI:	my lady .
  *CHI:	oops .
  *CHI:	my lady .
  *CHI:	daddy be hide .
  *MOT:	be he .
  *CHI:	what be that piece .
  *CHI:	ready steady go .
  *MOT:	ow .
  *CHI:	mummy say up we go .
  *CHI:	that go down .
  *MOT:	whee .
  *CHI:	that go down .
  *MOT:	okay .
  *CHI:	this go down mummy lift .
  *MOT:	want to go down the slide or go down the lift .
  *CHI:	mummy lady go down the say excuse me .
  *CHI:	say excuse me .
  *MOT:	excuse me .
  *MOT:	the way cm mummy lady .
  *MOT:	let lara lady come down .
  *MOT:	hello .
  *MOT:	hello .
  *CHI:	quick quick .
  *CHI:	hide .
  *MOT:	quick quick .
  *MOT:	hide .
  *CHI:	now cm mummy lady .
  *CHI:	mummy .
  *CHI:	mummy lady hide .
  *MOT:	i be go to open the door .
  *MOT:	and go and find out where lara be lady be go .
  *MOT:	there she be .
  *MOT:	you have to have a lady to close the door .
  *CHI:	where be my car go .
  *MOT:	there .
  *CHI:	it be shut now .
  *CHI:	they be all sleep .
  *MOT:	shh .
  *CHI:	oh .
  *MOT:	oh .
  *CHI:	oh .
  *MOT:	do not wake them up .
  *CHI:	that one be wake up .
  *MOT:	who be wake up .
  *CHI:	that one be wake up .
  *MOT:	be it .
  *CHI:	okay .
  *CHI:	where be my car go .
  *MOT:	where be your car go cm lady .
  *CHI:	here it be .
  *MOT:	can you see it .
  *CHI:	big step .
  *CHI:	mummy .
  *CHI:	you have miss the big step .
  *MOT:	big what .
  *CHI:	pass the big step .
  *MOT:	pass the big step .
  *CHI:	yes .
  *MOT:	what big step .
  *CHI:	the big step .
  *MOT:	oh that .
  *MOT:	you mean the lady be got to come over a big step to get out .
  *CHI:	no .
  *CHI:	lara lady come out .
  *CHI:	she wake up .
  *MOT:	have she wake up .
  *MOT:	my lady be still asleep .
  *MOT:	shh .
  *CHI:	no .
  *CHI:	wake up .
  *MOT:	be she wake up too .
  *CHI:	yes .
  *CHI:	up the lift .
  *MOT:	oh .
  *CHI:	mummy .
  *MOT:	oh .
  *MOT:	i be not come over there .
  *MOT:	i have just come back here .
  *MOT:	can we play here .
  *MOT:	it be quiet anyway .
  *CHI:	okay .
  *CHI:	excuse me .
  *CHI:	field .
  *MOT:	field .
  *CHI:	go round .
  *CHI:	it be cold out there .
  *CHI:	shut the door .
  *CHI:	it be shut .
  *CHI:	mummy .
  *CHI:	mummy lady .
  *CHI:	mummy lady go .
  *MOT:	be she go to go to sleep as well .
  *CHI:	a poor .
  *CHI:	oh .
  *MOT:	oh .
  *CHI:	you wake up .
  *MOT:	be you wake up .
  *CHI:	yes .
  *MOT:	who be wake up .
  *MOT:	lara lady .
  *CHI:	this wake up .
  *MOT:	who be wake up .
  *CHI:	mummy lady .
  *MOT:	mummy lady .
  *MOT:	door be open cm lady .
  *MOT:	wake up .
  *MOT:	there .
  *MOT:	they have wake up .
  *CHI:	another one .
  *MOT:	the other lady .
  *MOT:	she be wake up too .
  *CHI:	they go round in it .
  *CHI:	where be my lady go .
  *CHI:	say where be my car go .
  *MOT:	where be my car go .
  *CHI:	car .
  *CHI:	car .
  *CHI:	where be you .
  *MOT:	oh .
  *MOT:	hello .
  *CHI:	my car .
  *MOT:	car be hide .
  *CHI:	money .
  *CHI:	mine .
  *CHI:	it be mine .
  *MOT:	that be daddy money .
  *CHI:	mummy be .
  *MOT:	that be daddy be .
  *CHI:	here you be cm daddy .
  *MOT:	i think daddy be asleep .
  *CHI:	mummy .
  *CHI:	see .
  *CHI:	i do not like that .
  *CHI:	daddy .
  *CHI:	that be it .
  *CHI:	daddy .
  *CHI:	you that .
  *CHI:	i want some duvet .
  *CHI:	daddy nick it .
  *DAD:	he do .
  *CHI:	i can not get that .
  *DAD:	okay .
  *DAD:	okay .
  *DAD:	what be that .
  *CHI:	daddy say where be my duvet go .
  *DAD:	where be my duvet go .
  *DAD:	okay .
  *DAD:	okay .
  *DAD:	okay .
  *DAD:	sit up again then .
  *DAD:	sit up again and i will move it .
  *DAD:	lie down again .
  *DAD:	what be the matter cm lara .
  *DAD:	what be the matter .
  *MOT:	lara .
  *MOT:	what be the matter .
  *MOT:	come down here and play .
  *DAD:	what be the matter .
  *MOT:	come on .
  *MOT:	lara .
  *MOT:	come down here and play .
  *DAD:	do you want me to help you down .
  *CHI:	can not get up .
  *MOT:	you can not get up .
  *MOT:	do you want to get down .
  *MOT:	come and play .
  *MOT:	shall we find something else to play with .
  *MOT:	do you want a .
  *CHI:	yes .
  *CHI:	want .
  *MOT:	pardon .
  *MOT:	care or it will fall on your head .
  *MOT:	right .
  *MOT:	what do you want .
  *CHI:	no .
  *MOT:	you want the brick .

-- Conversation 020218::12 (2415 lemmas, speakers: CHI, MOT) --
  *MOT:	a dig .
  *MOT:	not a tractor .
  *CHI:	dig .
  *CHI:	dig .
  *CHI:	dig .
  *CHI:	dig .
  *CHI:	dig .
  *CHI:	ready steady go .
  *CHI:	how do you do this cm mummy .
  *MOT:	you want to do what .
  *CHI:	how do you do this cm mummy .
  *MOT:	how do you do what .
  *CHI:	how do you do the dig .
  *MOT:	let me have a look then .
  *CHI:	dig .
  *MOT:	what do you want to do .
  *CHI:	go like this .
  *MOT:	go like what .
  *MOT:	like that .
  *CHI:	that .
  *CHI:	no .
  *MOT:	there .
  *MOT:	lara .
  *MOT:	play with it nice .
  *CHI:	i be .
  *CHI:	want .
  *CHI:	i want .
  *MOT:	it be in the back room .
  *MOT:	in the dine room .
  *CHI:	want plasticine .
  *MOT:	you want plasticine .
  *MOT:	lara .
  *MOT:	lara .
  *MOT:	stop .
  *MOT:	let mummy do it .
  *CHI:	yes .
  *CHI:	where .
  *MOT:	yes .
  *MOT:	i want to get these up first .
  *CHI:	where .
  *MOT:	yes .
  *MOT:	i say what do i say .
  *MOT:	i say let mummy do it .
  *CHI:	no .
  *MOT:	good girl .
  *CHI:	why .
  *MOT:	go and get your table .
  *MOT:	lara .
  *MOT:	mummy take the lid off .
  *MOT:	you go and get your table .
  *MOT:	no .
  *MOT:	it be alright .
  *MOT:	leave that on there .
  *MOT:	i will take just bring your table and i will take the garage off .
  *CHI:	mummy .
  *CHI:	you take the garage off now .
  *CHI:	no .
  *MOT:	oh .
  *CHI:	no make a .
  *CHI:	no .
  *MOT:	yes .
  *MOT:	but do not push it off the edge of the table .
  *MOT:	do not push it off the table i say .
  *CHI:	i want this ball .
  *CHI:	i want this ball .
  *CHI:	you have that ball .
  *MOT:	thank you .
  *CHI:	no .
  *MOT:	you just give it to me .
  *CHI:	no .
  *MOT:	that one instead .
  *MOT:	well .
  *MOT:	they be identical .
  *CHI:	i want a .
  *CHI:	i want a .
  *MOT:	you want a what .
  *CHI:	i have .
  *MOT:	you have get there .
  *MOT:	yes .
  *CHI:	need .
  *CHI:	look .
  *MOT:	what .
  *CHI:	buy that at shop .
  *MOT:	yes .
  *CHI:	here you be .
  *CHI:	here you be .
  *MOT:	buy that at shop .
  *MOT:	here you be .
  *CHI:	buy that at shop .
  *CHI:	this go on the floor .
  *MOT:	you want it to go on the floor .
  *MOT:	here you be then .
  *CHI:	no .
  *CHI:	want this .
  *MOT:	you want this what .
  *CHI:	want this .
  *CHI:	want this .
  *CHI:	want this .
  *MOT:	well .
  *CHI:	yes .
  *CHI:	find it .
  *CHI:	look .
  *CHI:	a mat .
  *MOT:	mat .
  *MOT:	yes .
  *CHI:	ready .
  *CHI:	ready steady .
  *CHI:	ready steady cm mummy .
  *CHI:	ready steady cm mummy .
  *MOT:	well do .
  *MOT:	oh .
  *MOT:	well .
  *MOT:	that be all nice on the floor and then you lift it up .
  *MOT:	lara .
  *MOT:	there be enough room where you have it .
  *CHI:	want this .
  *CHI:	want this .
  *MOT:	yes .
  *MOT:	do you want mummy to put it down .
  *CHI:	no .
  *CHI:	i put it down .
  *MOT:	okay .
  *MOT:	you put it down .
  *CHI:	oh .
  *MOT:	you will have to move daddy shoe i think .
  *MOT:	that be it .
  *MOT:	you keep get it down and then lift it up again .
  *MOT:	where be lara .
  *MOT:	boo .
  *MOT:	where be lara .
  *CHI:	i need to mat .
  *MOT:	be you .
  *CHI:	no put your foot there lara be go to go cm mummy .
  *MOT:	oh sorry .
  *MOT:	i will move it .
  *CHI:	do not put foot on the table .
  *MOT:	they be not on the table .
  *CHI:	do not put .
  *MOT:	they be under the table .
  *CHI:	where be the mat go .
  *MOT:	you scrunch it up .
  *CHI:	do here .
  *CHI:	want to go on the mat .
  *MOT:	do you want me to help you now .
  *MOT:	oh that be it .
  *MOT:	look .
  *MOT:	it be out .
  *MOT:	that be it .
  *MOT:	we will just move daddy shoe again .
  *MOT:	keep get in the way cm do not it .
  *MOT:	there .
  *MOT:	perfect .
  *CHI:	mummy come on the mat .
  *MOT:	okay .
  *CHI:	animal .
  *MOT:	animal .
  *CHI:	lot .
  *CHI:	lot .
  *MOT:	lot .
  *MOT:	okay .
  *MOT:	lot .
  *CHI:	lot .
  *CHI:	lot .
  *MOT:	ow ow ow .
  *MOT:	what do you say .
  *CHI:	what .
  *MOT:	say sorry .
  *CHI:	say mummy .
  *MOT:	say sorry .
  *CHI:	yes .
  *CHI:	sorry .
  *MOT:	right .
  *MOT:	you whack mummy then .
  *MOT:	this be a bit ease for you cm this shape sort .
  *CHI:	no .
  *MOT:	oh .
  *MOT:	oh dear .
  *MOT:	i felt that for you .
  *MOT:	do you sit on the edge of the hearth .
  *MOT:	have you get a poor bottom .
  *MOT:	you have to be care .
  *CHI:	mummy .
  *MOT:	sit here .
  *MOT:	there .
  *MOT:	i think you will have to turn it over for that one .
  *MOT:	ow .
  *MOT:	no .
  *MOT:	that do not hurt .
  *MOT:	it be when you whack it down on my leg that hurt .
  *CHI:	mummy sit down here .
  *MOT:	okay .
  *CHI:	hurt my bottom .
  *MOT:	yes .
  *MOT:	you have to be you have to be care of that cm do not you .
  *CHI:	that .
  *MOT:	yes .
  *CHI:	that hurt .
  *MOT:	i know it do .
  *MOT:	that be it .
  *CHI:	where be this one go .
  *MOT:	you know where that one go .
  *MOT:	that be it .
  *MOT:	turn it over .
  *CHI:	do this go on here .
  *MOT:	okay .
  *MOT:	oh .
  *MOT:	that fall out .
  *MOT:	that be a bit silly cm be not it .
  *MOT:	well .
  *MOT:	yes .
  *MOT:	but it be not suppose to go in that hole cm be it .
  *MOT:	i know it do fit .
  *CHI:	can not fit it .
  *MOT:	you have a look at the shape of the block and the shape of the hole .
  *MOT:	try it like that .
  *MOT:	that be it .
  *CHI:	there .
  *CHI:	all do .
  *MOT:	all do .
  *CHI:	put the mat away .
  *CHI:	get off the mat cm mummy .
  *MOT:	what be the magic word .
  *CHI:	please .
  *MOT:	hang on .
  *MOT:	hang on .
  *MOT:	i have got to move slow .
  *CHI:	let us go over here .
  *CHI:	go over here .
  *MOT:	do you want to move over there .
  *MOT:	hooray .
  *MOT:	a bit light .
  *CHI:	hooray .
  *CHI:	what be mummy find .
  *MOT:	what be these .
  *MOT:	oh .
  *MOT:	egg .
  *CHI:	yes .
  *CHI:	egg out .
  *MOT:	can you get them back in cm look .
  *MOT:	at the bottom .
  *MOT:	there be a pattern that match the pattern here .
  *MOT:	right .
  *MOT:	and you have to match that up .
  *MOT:	so that be a star and that be a star .
  *MOT:	go in there .
  *MOT:	you have a look at the pattern on the bottom .
  *MOT:	it be a heart .
  *MOT:	no .
  *MOT:	no .
  *MOT:	no .
  *MOT:	yes .
  *MOT:	turn it round until it fit .
  *MOT:	keep go .
  *MOT:	turn it round .
  *MOT:	bit more .
  *MOT:	near .
  *MOT:	oh look .
  *MOT:	you have go past it .
  *MOT:	there .
  *MOT:	that one .
  *MOT:	what be the pattern on the bottom .
  *MOT:	that be it .
  *MOT:	clever girl .
  *MOT:	turn it round until it fit .
  *MOT:	yes .
  *MOT:	that be right but you have got to turn it round until it fit .
  *MOT:	that be it .
  *MOT:	good girl .
  *CHI:	another one .
  *MOT:	get another one .
  *MOT:	clever girl .
  *MOT:	yes .
  *CHI:	what be mummy find .
  *MOT:	i find the egg actual .
  *MOT:	but we have play with them .
  *MOT:	these be all a bit baby cm be not they cm lara .
  *MOT:	i do not know what that be from .
  *CHI:	it be from my mat .
  *MOT:	i do not think it be from your mat .
  *MOT:	no .
  *MOT:	lara .
